matter, Tc 
SmFeAsO0.8H0.2, 56.0 
CeFeAsO0.9H0.1, 48.0 
Ca0.85La0.15FeAsH, 47.0 
Ca0.88La0.12FeAs1.8Sb0.2, 47.0 
Ca0.85La0.15Fe2As1.88P0.12, 45.0 
Ca0.85La0.15FeAs21.98Sb0.02, 43.0 
Ca0.75Ce0.25FeAs1.9Sb0.1, 43.0 
Ca0.76Pr0.24FeAs1.9Sb0.1, 43.0 
Ca0.84Nd0.16FeAs1.9Sb0.1, 43.0 
Na0.8N0.6H1.8Fe2Se2, 42.0 
Na0.65Fe1.93Se2, 37.0 
LaFeAsO0.8H0.2, 36.0 
LaFeAsO0.85H0.85, 35.0 
Ca0.9La0.1FeAs2, 34.0 
CaFeAsF0.7, 27.0 
BaFe1.92Pt0.08As2, 24.0 
CaFe0.91Co0.09AsH, 23.0 
Sr0.6La0.4Fe2As2, 23.0 
Ba0.95La0.05Fe2As2, 22.4 
Sr0.68La0.32Fe2As2, 20.0 
Ca10Ir4As8Fe2As25, 16.0 
Ba0.85Ce0.15Fe2As2, 13.5 
MoC0.68, 12.0 
CrNbN, 11.0 
Nb5Ir3O, 10.5 
Ir0.6Rh0.4Se2, 10.0 
KMo6Se8, 9.0 
NbSiAs, 8.2 
Nb4NiSi, 7.7 
Nb4FeSi, 6.8 
Nb4CoSi, 6.0 
LaPtBN, 6.7 
Ca2Al3Si4, 6.4 
MgMg0.75Al0.25Si, 6.2 
Ba0.83Pr0.17Fe2As2, 6.1 
Ba3Ir4Ge16, 6.1 
Ba0.87Nd0.13Fe2As2, 5.8 
Zr2Ru3Si4, 5.7 
LaIrPn, 5.3 
NdO0.6F0.4BiS2, 5.25 
Mg4AlSi3, 5.2 
SrNiSn3, 5.0 
SrAl2Si2, 4.6 
Bi4O4S3, 4.5 
Ba2Bi2.97Sb0.03, 4.3 
LaCo1.4Fe0.6B2, 4.0 
La0.9Y0.1Co2B2, 4.0 
YNi0.85Bi2, 4.0 
LaNi0.65Bi2, 4.0 
CeNi0.8Bi2, 4.0 
BaGe2H0.27, 4.0 
Zr5N4OF6, 4.0 
Au0.65Pt0.35Te2, 4.0 
Li2IrSi3, 3.8 
LaNiAsO0.85H0.15, 3.7 
YFe2SiC, 3.5 
BaNi2As1.8P0.2, 3.3 
La3Ru8B6, 3.2 
Ba4Ir8Ge28, 3.2 
Ir0.95Pt0.05Te2, 3.1 
BaTi2Sb2O, 3.0 
LaSi2H0.03, 3.0 
1T-TaS2, 3.0 
CaPd2Bi2, 2.6 
SrPt2Bi2, 2.6 
Ir0.9Rh0.1Te2, 2.6 
NbBe2, 2.6 
BaTi2Sb1.6Sn0.2O, 2.5 
MgPtSi, 2.5 
LaRhP, 2.5 
CaNiBN, 2.2 
SrPd2Bi2, 2.2 
SrPt2Sb2, 2.1 
LaGe1.7, 2.0 
BaPt2Sb2, 1.9 
PrNiAsO0.94H0.06, 1.6 
SrAuSi3, 1.54 
Y2CrC3, 1.5 
LaPd2Sb2, 1.4 
LaPd2As2, 1.0 
CuZr2, 1.0 
HfZr2, 1.0 
Ca2InN, 0.6 
Zr2Ti2Sb2H, 0.0 
Zr2Ti2Bi2H, 0.0 
BaMnRuAs2, 0.0 
BaMnBi2, 0.0 
LaCo2Si2, 0.0 
GdCo2B2, 0.0 
Y3NiSi3, 0.0 
ZrNi0.75As, 0.0 
Cu2As, 0.0 
BaCu2As2, 0.0 
HfCu2P2, 0.0 
BaZnBi2, 0.0 
LaRhBN, 0.0 
NbGeAs, 0.0 
Ce2O2Sb, 0.0 
ZnB2, 0.0 
CaSrSi4, 0.0 
BaRh2Ge4S6, 0.0 
Cr2Hf, 0.0 
SmNiAs, 0.0 
CaOsO3, 0.0 
SrCr2O4, 0.0 
Zr2N2S, 0.0 
Mn2CrN, 0.0 
RhNCr3, 0.0 
Ca2ZnOsO6, 0.0 
Sr2CoOsO6, 0.0 
SrCrO2H, 0.0 
SrMoO2.5N0.5, 0.0 
MnO2, 0.0 
BaScO2H, 0.0 
LaSiO3H, 0.0 
BaCr2O4, 0.0 
CeCu3Cr4O12, 0.0 
KOsO3, 0.0 
Bi2OsO6, 0.0 
La3HfBi5, 0.0 
BaPdSi, 0.0 
SrFeAsH, 0.0 
LaFe0.5Sb2, 0.0 
ZrTiBi, 0.0 
ZrTiSb, 0.0 
LaCrAsO, 0.0 
CeCrAsO, 0.0 
PrCrAsO, 0.0 
SmCrAsO, 0.0 
NdCrAsO, 0.0 
CaMnBi2, 0.0 
BaMnFeAs2, 0.0 
LaMn2Si2, 0.0 
BaCo2Ge2, 0.0 
LaNiAs, 0.0 
KNi2Se2, 0.0 
Ba2Cu3P4, 0.0 
GdCu1.25P1.75, 0.0 
TaGeAs, 0.0 
LaAgBi2, 0.0 
CeAgBi2, 0.0 
Gd2O2Bi, 0.0 
SrAuP, 0.0 
Ta5Si3, 0.0 
SrNiSi3, 0.0 
BaRh2Ge4Se6, 0.0 
CrTaN, 0.0 
SrOsO3, 0.0 
LaSrMnO3H, 0.0 
Sr2TiO3F2, 0.0 
Hf2N2S, 0.0 
Mn3ZnN, 0.0 
Sr3OsO6, 0.0 
Ba2YScOsO6, 0.0 
BaBiS3, 0.0 
Ca2CrO4, 0.0 
YCaCrO4, 0.0 
Na32Si136, 0.0 
PtSb2, 0.0 
PtSb2, 0.0 
Ti3O4.9N0.1, 0.0 
NaTi2O4, 0.0 
SrCu3Cr4O12, 0.0 
LuCu3Cr4O12, 0.0 
LaCu3Ru4O12, 0.0 
Ca3LiOsO6, 0.0 
Pb2Os2O7, 0.0 
La3TiBi5, 0.0 
ZrTiAs, 0.0 
SrCrAsF, 0.0 
SrMnAsF, 0.0 
MgNiGe, 0.0 
La3NiSi3, 0.0 
BaCu6As2, 0.0 
ZrCu2P2, 0.0 
HfCuSi2, 0.0 
Sr2F2Ti2Bi2O, 0.0 
PCa10Ir4As8Fe10As10, 0.0 
EuCrAsF, 0.0 
BaMnAsF, 0.0 
BaMn2As2, 0.0 
YCo2Ge2, 0.0 
LaCo2Ge2, 0.0 
Ca2Cu6P5, 0.0 
YCuSb2, 0.0 
ZrCu2As2, 0.0 
HfCuGe2, 0.0 
LaIrBN, 0.0 
BaNiSn3, 0.0 
Ce2O2Bi, 0.0 
Er2O2Bi, 0.0 
SrAuSi, 0.0 
V5Ge3, 0.0 
Ta5Ir3O, 0.0 
BaIr2Ge4S6, 0.0 
Cr2N, 0.0 
BaOsO3, 0.0 
CaCu3Cr4O12, 0.0 
Sr2LiOsO6, 0.0 
PtSb2, 0.0 
Ti4O6.99N0.01, 0.0 
BaCu3Cr4O12, 0.0 
EuCu3Cr4O12, 0.0 
CdRh2O4, 0.0 
Ca2Os2O7, 0.0 
Pb2Ir2O7, 0.0 
LaFeSiF, 0.0 
HfCo2Si2, 0.0 
TiSiAs, 0.0 
Mg2PtSi, 0.0 
V5P3, 0.0 
YbGa0.9Si1.1, 0.0 
TiOCl, 0.0 
Zr2N2O, 0.0 
Mn3AlC, 0.0 
Ca3OsO6, 0.0 
Sr2YOsO6, 0.0 
SrGeO3, 0.0 
Ti3N4, 0.0 
NaCr2O4, 0.0 
La3TiSb5, 0.0 
EuMnAsF, 0.0 
LaCo0.6Sb2, 0.0 
BaCu1.8As2, 0.0 
YCuAs2, 0.0 
ZrCuSiAs, 0.0 
La2O2Te, 0.0 
BaIr2Ge4Se6, 0.0 
CuNCN, 0.0 
CaRuO3, 0.0 
CaRhO3, 0.0 
Sr2MnOsO6, 0.0 
PtSb2, 0.0 
IrSb2, 0.0 
YCu3Cr4O12, 0.0 
BiCu3Cr4O12, 0.0 
Ca5Os2O12, 0.0 
Zr2Ti2As2H, 0.0 
HfCo2Ge2, 0.0 
MnB2, 0.0 
CrOCl, 0.0 
Mn3SnC, 0.0 
Ca2MnOsO6, 0.0 
Sr2PbOsO6, 0.0 
Zr3N4, 0.0 
Cr3O, 0.0 
ZrNi0.75P, 0.0 
Ca3Cr2O7, 0.0 
Ba3C60, 0.0 
Zr5Pb4, 0.0 
Ca2FeOsO6, 0.0 
NaIrO3, 0.0 
GeO2, 0.0 
Sr2TiO3F2, 0.0 
Sr3Co2O6, 0.0 
LiOsO3, 0.0 
Rh3Ge7, 0.0 
